epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7586234211921692,0.835315465927124,0.7586234211921692,0.9233430624008179,944967.0,28523.0,1.1545823812484741,0.9551940560340881,0.3915348947048187,6183613.0,608067.0,0.9077185392379761,0.9551941156387329,0.9077185392379761,0.4504263401031494,57660.0,12192.0,0.4723895192146301,0.9544609189033508,0.8158968687057495,1240584.0,255534.0
1,0.8882806301116943,0.9434219002723694,0.8882806301116943,0.42773088812828064,286949.0,91006.0,0.5703004598617554,0.9329403638839722,0.8152332901954651,6121130.0,1266085.0,0.9175878167152405,0.9670690894126892,0.9175878167152405,0.29561176896095276,34925.0,17780.0,0.3203255534172058,0.9399423599243164,0.8884876370429993,1234996.0,278269.0
2,0.9099903702735901,0.963037371635437,0.9099903702735901,0.3044380843639374,189905.0,98422.0,0.4255586564540863,0.9326592087745667,0.8777199983596802,6113714.0,1363129.0,0.926642894744873,0.975853443145752,0.926642894744873,0.2336335927248001,27818.0,18184.0,0.2598617970943451,0.9400975108146667,0.9111796617507935,1234592.0,285376.0
3,0.9218317270278931,0.9728168249130249,0.9218317270278931,0.24462053179740906,148964.0,95691.0,0.35343438386917114,0.9361958503723145,0.9040819406509399,6116445.0,1404070.0,0.9320772290229797,0.9804579019546509,0.9320772290229797,0.20236577093601227,24349.0,17921.0,0.22977690398693085,0.9415808916091919,0.9222558736801147,1234855.0,288845.0
4,0.9289049506187439,0.9780056476593018,0.9289049506187439,0.21211352944374084,128497.0,92167.0,0.31140628457069397,0.9392320513725281,0.9172606468200684,6119969.0,1424537.0,0.9355000257492065,0.9830119609832764,0.9355000257492065,0.18491250276565552,22572.0,17493.0,0.21299771964550018,0.9432257413864136,0.9279296398162842,1235283.0,290622.0
5,0.9338739514350891,0.9812153577804565,0.9338739514350891,0.1918192207813263,116251.0,88213.0,0.2843753397464752,0.9421552419662476,0.9251458644866943,6123923.0,1436783.0,0.9383640885353088,0.9848263263702393,0.9383640885353088,0.1725735366344452,21248.0,16950.0,0.2009531408548355,0.9451271891593933,0.932157039642334,1235826.0,291946.0
6,0.9378146529197693,0.9833766222000122,0.9378146529197693,0.17773869633674622,107430.0,84508.0,0.26550430059432983,0.9447700381278992,0.9308257102966309,6127628.0,1445604.0,0.9404011368751526,0.9857747554779053,0.9404011368751526,0.1653575897216797,20463.0,16512.0,0.1937492936849594,0.9466050863265991,0.9346634745597839,1236264.0,292731.0
7,0.9409105181694031,0.9849222302436829,0.9409105181694031,0.1675155758857727,101300.0,81192.0,0.2513015568256378,0.9470345973968506,0.9347728490829468,6130944.0,1451734.0,0.942470133304596,0.9865694642066956,0.942470133304596,0.15905730426311493,19653.0,16056.0,0.18732516467571259,0.9481390118598938,0.9372497797012329,1236720.0,293541.0
8,0.9433405995368958,0.9860407114028931,0.9433405995368958,0.15969081223011017,96446.0,78310.0,0.2405046969652176,0.9489803314208984,0.9378983378410339,6133826.0,1456588.0,0.9439325332641602,0.9870083928108215,0.9439325332641602,0.1551363319158554,19107.0,15660.0,0.18311572074890137,0.9494426250457764,0.9389930963516235,1237116.0,294087.0
9,0.94536954164505,0.9869171380996704,0.94536954164505,0.15334948897361755,92698.0,75942.0,0.23144543170928955,0.9505675435066223,0.9403116703033447,6136194.0,1460336.0,0.9458163380622864,0.9877957105636597,0.9458163380622864,0.14961832761764526,18447.0,15165.0,0.1773034781217575,0.9510667324066162,0.9411004185676575,1237611.0,294747.0
10,0.9471466541290283,0.9876148700714111,0.9471466541290283,0.14820733666419983,89373.0,73490.0,0.22432687878608704,0.9521907567977905,0.9424526691436768,6138646.0,1463661.0,0.9468188881874084,0.9879867434501648,0.9468188881874084,0.14710289239883423,18061.0,14917.0,0.17441919445991516,0.951888382434845,0.9423328638076782,1237859.0,295133.0
11,0.9487441778182983,0.9882732033729553,0.9487441778182983,0.14354807138442993,86503.0,71406.0,0.21763359010219574,0.9535702466964722,0.944300651550293,6140730.0,1466531.0,0.9479396343231201,0.988243579864502,0.9479396343231201,0.14457695186138153,17674.0,14683.0,0.1715671271085739,0.9526664614677429,0.9435685276985168,1238093.0,295520.0
12,0.9500423073768616,0.9887901544570923,0.9500423073768616,0.1397373527288437,84347.0,69890.0,0.21210341155529022,0.9545748829841614,0.9456889033317566,6142246.0,1468687.0,0.9488623738288879,0.9885745644569397,0.9488623738288879,0.1418868750333786,17277.0,14406.0,0.16851848363876343,0.9535773992538452,0.9448360800743103,1238370.0,295917.0
13,0.9512386918067932,0.9892547130584717,0.9512386918067932,0.13613994419574738,82019.0,68196.0,0.20697768032550812,0.9556941986083984,0.9471879005432129,6143940.0,1471015.0,0.9497404098510742,0.9888530969619751,0.9497404098510742,0.13942068815231323,16988.0,14156.0,0.16575787961483002,0.9543887376785278,0.9457588791847229,1238620.0,296206.0
14,0.9524331092834473,0.9896664619445801,0.9524331092834473,0.13302478194236755,80096.0,66681.0,0.20252983272075653,0.9566899538040161,0.9484261274337769,6145455.0,1472938.0,0.9505705833435059,0.9889900088310242,0.9505705833435059,0.1378248631954193,16718.0,13996.0,0.16382965445518494,0.95492023229599,0.9466209411621094,1238780.0,296476.0
15,0.9533899426460266,0.9899721145629883,0.9533899426460266,0.13056409358978271,78349.0,65260.0,0.19887728989124298,0.9576218724250793,0.949550986289978,6146876.0,1474685.0,0.9514390230178833,0.9893491268157959,0.9514390230178833,0.13516604900360107,16387.0,13773.0,0.16088517010211945,0.955653965473175,0.9476777911186218,1239003.0,296807.0
16,0.954474925994873,0.9903438091278076,0.954474925994873,0.12776418030261993,76443.0,64005.0,0.19489498436450958,0.9584543704986572,0.9507783055305481,6148131.0,1476591.0,0.9517934322357178,0.9894483089447021,0.9517934322357178,0.13421350717544556,16235.0,13655.0,0.15963220596313477,0.9560387134552002,0.9481630921363831,1239121.0,296959.0
17,0.9550286531448364,0.9905874133110046,0.9550286531448364,0.1259559839963913,75502.0,63285.0,0.1921512335538864,0.9589276313781738,0.9513841867446899,6148851.0,1477532.0,0.9524767398834229,0.9897536039352417,0.9524767398834229,0.13208507001399994,16002.0,13494.0,0.1572536677122116,0.956567108631134,0.9489070773124695,1239282.0,297192.0
18,0.9557182788848877,0.9908422827720642,0.9557182788848877,0.12384847551584244,74241.0,62313.0,0.1891579031944275,0.959566056728363,0.9521961808204651,6149823.0,1478793.0,0.9529780149459839,0.9898314476013184,0.9529780149459839,0.13104981184005737,15826.0,13365.0,0.15597957372665405,0.9569888114929199,0.9494690299034119,1239411.0,297368.0
19,0.9564265608787537,0.9910459518432617,0.9564265608787537,0.12206582725048065,72912.0,61544.0,0.1864323765039444,0.960079550743103,0.9530519247055054,6150592.0,1480122.0,0.9533771276473999,0.9899821281433105,0.9533771276473999,0.12969964742660522,15654.0,13263.0,0.1543724238872528,0.9573266506195068,0.9500182271003723,1239513.0,297540.0
20,0.9569957852363586,0.991267740726471,0.9569957852363586,0.12052340060472488,72062.0,60793.0,0.18413721024990082,0.9605692028999329,0.953599214553833,6151343.0,1480972.0,0.9536197781562805,0.9900634288787842,0.9536197781562805,0.12911374866962433,15554.0,13208.0,0.1535429060459137,0.9575097560882568,0.9503374695777893,1239568.0,297640.0
21,0.9574092030525208,0.9914822578430176,0.9574092030525208,0.11896942555904388,71257.0,60069.0,0.18186435103416443,0.9610408544540405,0.9541175365447998,6152067.0,1481777.0,0.9541019201278687,0.9901838302612305,0.9541019201278687,0.1280387043952942,15380.0,13091.0,0.15226352214813232,0.9578939080238342,0.9508930444717407,1239685.0,297814.0
22,0.9579629302024841,0.9916399717330933,0.9579629302024841,0.11766493320465088,70254.0,59438.0,0.1799878627061844,0.9614593982696533,0.9547634124755859,6152698.0,1482780.0,0.9542967081069946,0.9901611804962158,0.9542967081069946,0.12772560119628906,15300.0,13056.0,0.15169920027256012,0.9580125212669373,0.951148509979248,1239720.0,297894.0
23,0.9584181904792786,0.9917948842048645,0.9584181904792786,0.11624965816736221,69394.0,58888.0,0.17778721451759338,0.9618237018585205,0.9553171396255493,6153248.0,1483640.0,0.9547054171562195,0.9903627634048462,0.9547054171562195,0.1265600621700287,15149.0,12956.0,0.1503027379512787,0.9583409428596497,0.9516305923461914,1239820.0,298045.0
24,0.9587298035621643,0.9919068813323975,0.9587298035621643,0.11519818007946014,68815.0,58543.0,0.17615556716918945,0.962053120136261,0.9556899666786194,6153593.0,1484219.0,0.9548777937889099,0.9903838634490967,0.9548777937889099,0.12629079818725586,15105.0,12900.0,0.1498146802186966,0.958519458770752,0.951771080493927,1239876.0,298089.0
